code,distillery,region,status,founded,closed,wikipedia,wikidata,confidence,last_verified
1,Glenfarclas,Speyside,operational,1836,,https://en.wikipedia.org/wiki/Glenfarclas_distillery,Q652203,confirmed,2026-08-16
2,Glenlivet,Speyside,operational,,,,Q17826862,unconfirmed,2026-08-16
3,Bowmore,Islay,operational,1779,,https://en.wikipedia.org/wiki/Bowmore_distillery,Q51905,confirmed,2026-08-16
4,Highland Park,Islands,operational,1788,,https://en.wikipedia.org/wiki/Highland_Park_distillery,Q982844,confirmed,2026-08-16
5,Auchentoshan,Lowland,operational,1823,,https://en.wikipedia.org/wiki/Auchentoshan_distillery,Q758604,confirmed,2026-08-16
6,Macduff,Highland,,,,,,,2026-08-16
7,Longmorn,Speyside,,,,,,,2026-08-16
8,Tamdhu,Speyside,,,,,,,2026-08-16
9,Glen Grant,Speyside,,,,,,,2026-08-16
10,Bunnahabhain,Islay,,,,,,,2026-08-16
11,Tomatin,Highland,,,,,,,2026-08-16
12,BenRiach,Speyside,,,,,,,2026-08-16
13,Dalmore,Highland,,,,,,,2026-08-16
14,Talisker,Islands,,,,,,,2026-08-16
15,Glenfiddich,Speyside,,,,,,,2026-08-16
16,Glenturret,Highland,,,,,,,2026-08-16
17,Scapa,Islands,,,,,,,2026-08-16
18,Inchgower,Speyside,,,,,,,2026-08-16
19,Glen Garioch,Highland,,,,,,,2026-08-16
20,Inverleven,Lowland,,,,,,,2026-08-16
21,Glenglassaugh,Highland,,,,,,,2026-08-16
22,Glenkinchie,Lowland,,,,,,,2026-08-16
23,Bruichladdich,Islay,,,,,,,2026-08-16
24,Macallan,Speyside,,,,,,,2026-08-16
25,Rosebank,Lowland,,,,,,,2026-08-16
26,Clynelish,Highland,,,,,,,2026-08-16
27,Springbank,Campbeltown,,,,,,,2026-08-16
28,Tullibardine,Highland,,,,,,,2026-08-16
29,Laphroaig,Islay,,,,,,,2026-08-16
30,Glenrothes,Speyside,,,,,,,2026-08-16
31,Isle of Jura,Islands,,,,,,,2026-08-16
32,Edradour,Highland,operational,1825,,https://en.wikipedia.org/wiki/Edradour_distillery,Q982705,confirmed,2026-08-16
33,Ardbeg,Islay,operational,1794,,https://en.wikipedia.org/wiki/Ardbeg_distillery,Q274,confirmed,2026-08-16
34,Tamnavulin,Speyside,operational,1966,,https://en.wikipedia.org/wiki/Tamnavulin_distillery,Q1474840,confirmed,2026-08-16
35,Glen Moray,Speyside,operational,1897,,https://en.wikipedia.org/wiki/Glen_Moray_distillery,Q982841,unconfirmed,2026-08-16
36,Benrinnes,Speyside,operational,1835,,https://en.wikipedia.org/wiki/Benrinnes_distillery,Q818145,confirmed,2026-08-16
37,Cragganmore,Speyside,,,,,,,2026-08-16
38,Caperdonich,Speyside,,,,,,,2026-08-16
39,Linkwood,Speyside,,,,,,,2026-08-16
40,Balvenie,Speyside,,,,,,,2026-08-16
41,Dailuaine,Speyside,,,,,,,2026-08-16
42,Tobermory,Islands,,,,,,,2026-08-16
43,Port Ellen,Islay,,,,,,,2026-08-16
44,Craigellachie,Speyside,,,,,,,2026-08-16
45,Dallas Dhu,Speyside,,,,,,,2026-08-16
46,Glenlossie,Speyside,,,,,,,2026-08-16
47,Benromach,Speyside,,,,,,,2026-08-16
48,Balmenach,Speyside,,,,,,,2026-08-16
49,St. Magdalene,Lowland,,,,,,,2026-08-16
50,Bladnoch,Lowland,,,,,,,2026-08-16
51,Bushmills,Northern Ireland,,,,,,,2026-08-16
52,Old Pulteney,Highland,,,,,,,2026-08-16
53,Caol Ila,Islay,,,,,,,2026-08-16
54,Aberlour,Speyside,,,,,,,2026-08-16
55,Royal Brackla,Highland,,,,,,,2026-08-16
56,Coleburn,Speyside,,,,,,,2026-08-16
57,Glen Mhor,Highland,,,,,,,2026-08-16
58,Strathisla,Speyside,,,,,,,2026-08-16
59,Teaninich,Highland,,,,,,,2026-08-16
